Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
1137,pineapple-kush,Pineapple Kush,Hybrid,Pk,Pineapple Kush has a THC content up to 15% and tastes of sweet pineapple.,http://www.leafly.com/hybrid/pineapple-kush,http://www.leafly.com/api/details/pineapple-kush,http://www.leafly.com/me/create/pineapple-kush,7.9,Euphoric,Stress,Play video games
76,pineapple-thai,Pineapple Thai,Indica,Pit,,http://www.leafly.com/indica/pineapple-thai,http://www.leafly.com/api/details/pineapple-thai,http://www.leafly.com/me/create/pineapple-thai,7.8,Uplifted,Stress,Meditate
540,pineapple-trainwreck,Pineapple Trainwreck,Sativa,Ptw,,http://www.leafly.com/sativa/pineapple-trainwreck,http://www.leafly.com/api/details/pineapple-trainwreck,http://www.leafly.com/me/create/pineapple-trainwreck,8,Euphoric,Stress,Relax at home
8603,pink-pez,Pink Pez,Hybrid,Ppz,,http://www.leafly.com/hybrid/pink-pez,http://www.leafly.com/api/details/pink-pez,http://www.leafly.com/me/create/pink-pez,7.7,Euphoric,Pain,Watch a movie
5845,pitbull,Pitbull,Indica,Pit,,http://www.leafly.com/indica/pitbull,http://www.leafly.com/api/details/pitbull,http://www.leafly.com/me/create/pitbull,8.7,Euphoric,Pain,N/A
460,platinum-bubba,Platinum Bubba,Indica,Pb,,http://www.leafly.com/indica/platinum-bubba,http://www.leafly.com/api/details/platinum-bubba,http://www.leafly.com/me/create/platinum-bubba,7.5,Lazy,Insomnia,Relax at home
2607,platinum-bubba-kush,Platinum Bubba Kush,Indica,Pbk,,http://www.leafly.com/indica/platinum-bubba-kush,http://www.leafly.com/api/details/platinum-bubba-kush,http://www.leafly.com/me/create/platinum-bubba-kush,8.7,Happy,Anxiety,Relax at home
395,platinum-kush,Platinum Kush,Indica,Pk,"With a silver/platinum shade due to its many crystals, Platinum Kush creates a strong buzz affecting both the head and body. ",http://www.leafly.com/indica/platinum-kush,http://www.leafly.com/api/details/platinum-kush,http://www.leafly.com/me/create/platinum-kush,8.3,Lazy,Stress,Relax at home
303,platinum-og,Platinum OG,Indica,Plt,,http://www.leafly.com/indica/platinum-og,http://www.leafly.com/api/details/platinum-og,http://www.leafly.com/me/create/platinum-og,8,Euphoric,Stress,Relax at home
145,platinum-purple-kush,Platinum Purple Kush,Indica,Ppk,,http://www.leafly.com/indica/platinum-purple-kush,http://www.leafly.com/api/details/platinum-purple-kush,http://www.leafly.com/me/create/platinum-purple-kush,7.1,Lazy,Insomnia,Relax at home
